tld	verdict	host	needle	reason
aaa	accept	whois.nic.aaa	no data found	needle verified against both probes
aarp	accept	whois.nic.aarp	no data found	needle verified against both probes
abb	accept	whois.nic.abb	domain not found	needle verified against both probes
abbott	accept	whois.nic.abbott	domain not found	needle verified against both probes
abbvie	no-server			IANA lists no WHOIS server for this TLD
abc	accept	whois.nic.abc	domain not found	needle verified against both probes
able	no-server			IANA lists no WHOIS server for this TLD
abogado	accept	whois.nic.abogado	no data found	needle verified against both probes
abudhabi	accept	whois.nic.abudhabi	no data found	needle verified against both probes
accenture	accept	whois.nic.accenture	domain not found	needle verified against both probes
aco	reject	whois.nic.aco		free probe: resolving whois.nic.aco: [Errno 8] nodename nor servname provided, or not known
ads	no-server			IANA lists no WHOIS server for this TLD
aeg	accept	whois.nic.aeg	domain not found	needle verified against both probes
aetna	no-server			IANA lists no WHOIS server for this TLD
afl	accept	whois.nic.afl	no data found	needle verified against both probes
africa	accept	whois.nic.africa	no information was found matching that query	needle verified against both probes
agakhan	accept	whois.nic.agakhan	domain not found	needle verified against both probes
ai	accept	whois.nic.ai	domain not found	needle verified against both probes
aig	no-server			IANA lists no WHOIS server for this TLD
airbus	accept	whois.nic.airbus	domain not found	needle verified against both probes
airtel	accept	whois.nic.airtel	no data found	needle verified against both probes
akdn	accept	whois.nic.akdn	domain not found	needle verified against both probes
al	no-server			IANA lists no WHOIS server for this TLD
alibaba	accept	whois.nic.alibaba	domain not found	needle verified against both probes
alipay	accept	whois.nic.alipay	domain not found	needle verified against both probes
allfinanz	accept	whois.nic.allfinanz	the queried object does not exist	needle verified against both probes
allstate	accept	whois.nic.allstate	domain not found	needle verified against both probes
ally	accept	whois.nic.ally	no data found	needle verified against both probes
alsace	accept	whois.nic.alsace	not found	needle verified against both probes
alstom	accept	whois.nic.alstom	the queried object does not exist	needle verified against both probes
amazon	no-server			IANA lists no WHOIS server for this TLD
americanexpress	no-server			IANA lists no WHOIS server for this TLD
americanfamily	accept	whois.nic.americanfamily	no data found	needle verified against both probes
amex	no-server			IANA lists no WHOIS server for this TLD
amfam	accept	whois.nic.amfam	no data found	needle verified against both probes
amica	no-server			IANA lists no WHOIS server for this TLD
amsterdam	accept	whois.nic.amsterdam	domain status: free	needle verified against both probes
analytics	no-server			IANA lists no WHOIS server for this TLD
android	no-server			IANA lists no WHOIS server for this TLD
anquan	reject	whois.teleinfo.cn		registered nic.anquan reads as UNKNOWN (empty whois response)
anz	accept	whois.nic.anz	no data found	needle verified against both probes
ao	no-server			IANA lists no WHOIS server for this TLD
aol	accept	whois.nic.aol	domain not found	needle verified against both probes
app	no-server			IANA lists no WHOIS server for this TLD
apple	no-server			IANA lists no WHOIS server for this TLD
aq	no-server			IANA lists no WHOIS server for this TLD
aquarelle	accept	whois.nic.aquarelle	the queried object does not exist	needle verified against both probes
arab	accept	whois.nic.arab	no data found	needle verified against both probes
aramco	no-server			IANA lists no WHOIS server for this TLD
arte	accept	whois.nic.arte	domain not found	needle verified against both probes
asda	accept	whois.nic.asda	domain not found	needle verified against both probes
athleta	no-server			IANA lists no WHOIS server for this TLD
audi	accept	whois.nic.audi	domain not found	needle verified against both probes
audible	no-server			IANA lists no WHOIS server for this TLD
auspost	accept	whois.nic.auspost	no data found	needle verified against both probes
author	no-server			IANA lists no WHOIS server for this TLD
auto	accept	whois.nic.auto	the queried object does not exist	needle verified against both probes
autos	accept	whois.nic.autos	the queried object does not exist	needle verified against both probes
aw	accept	whois.nic.aw	is free	needle verified against both probes
aws	no-server			IANA lists no WHOIS server for this TLD
axa	no-server			IANA lists no WHOIS server for this TLD
az	no-server			IANA lists no WHOIS server for this TLD
azure	no-server			IANA lists no WHOIS server for this TLD
ba	no-server			IANA lists no WHOIS server for this TLD
baby	accept	whois.nic.baby	the queried object does not exist	needle verified against both probes
baidu	accept	whois.gtld.knet.cn	the queried object does not exist	needle verified against both probes
